response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
alligator,7.4510283,13.049423,1.1975237,1.7919261220073759,-1.3118155,2,12,9,1,0,0.0,9,0
crocodile,7.534795,15.438948,1.2002896,1.3865443298750981,-2.003913,2,13,9,2,0,1.0,10,0
boa constrictor,6.046375,12.531776,-0.058959484,2.079566533867987,-1.391471,2,14,9,3,0,2.0,11,0
viper,7.1858773,14.515451,-2.418069,1.09894556645823,-1.7001505,2,15,9,4,0,1.0,12,0
rattlesnake,7.2707524,15.933088,-1.5060878,1.6096378924367667,-2.3578014,2,16,9,5,0,3.0,12,1
opossum,6.9351535,12.40675,-0.14806485,3.0445700556372914,-2.0159597,2,17,10,1,1,2.0,13,0
fox,8.901891,12.907425,-1.256597,2.079566533867987,-1.6409554,2,18,11,1,0,0.0,14,0
deer,8.729307,12.582793,-0.22081327,0.6936470556015963,-0.91820574,2,19,11,2,0,0.0,15,0
bobcat,6.642092,13.084714,-1.2413697,2.1973356822749484,-2.0612724,2,20,11,3,0,1.0,16,0
bird,9.1650715,13.088846,0.64898264,2.4849899796493045,-0.634671,2,21,12,1,1,2.0,17,0
beaver,8.254935,11.682302,-1.0188029,2.639128755635788,-2.5685596,2,22,13,1,0,0.0,18,0
groundhog,6.338394,14.220449,-0.7773843,1.6096378924367667,-1.3501579,2,23,13,2,1,1.0,19,0
hyena,6.8782196,14.044413,-2.0055203,3.6889044538014413,-1.0409176,2,24,14,1,0,3.0,19,1
bear,9.4697275,13.285624,-0.5030153,0.6936470556015963,-1.7594746,3,2,2,1,1,,0,0
monkey,8.25998,12.91654,1.4139525,0.0009995003330834232,-2.88354,3,3,3,1,1,0.0,1,0
pig,8.733592,13.083042,-0.43317556,0.6936470556015963,-3.1057508,3,4,4,1,0,0.0,2,0
cow,8.763902,15.466529,-0.64451075,0.0009995003330834232,-1.4028914,3,5,4,2,0,1.0,3,0
horse,9.460777,15.285967,-0.51891565,0.6936470556015963,-1.2905073,3,6,4,3,0,2.0,4,0
turkey,8.929881,14.0773735,-1.7151693,0.6936470556015963,-1.448702,3,7,4,4,1,0.0,5,0
giraffe,7.0409007,12.323551,1.7233582,1.6096378924367667,-1.4302366,3,8,5,1,0,0.0,6,0
elephant,8.278831,15.255891,0.5827914,1.3865443298750981,-2.2694397,3,9,5,2,0,1.0,7,0
hippopotamus,6.933396,14.593483,1.1898401,0.6936470556015963,-1.5161712,3,10,5,3,0,2.0,8,0
tiger,8.281227,13.483894,0.58249664,1.09894556645823,-1.4955349,3,11,5,4,0,0.0,9,0
lion,8.663146,15.957723,1.1276553,0.0009995003330834232,-1.4874623,3,12,5,5,1,1.0,10,0
penguin,8.166074,12.906376,0.13859695,1.09894556645823,-1.289388,3,13,6,1,1,2.0,11,0
mouse,8.734669,11.367092,0.2110622,1.7919261220073759,-1.5982708,3,14,7,1,0,0.0,12,0
rat,8.843021,15.928724,-0.05801153,0.6936470556015963,-1.8271697,3,15,7,2,0,1.0,13,0
hamster,7.4689918,15.226865,0.8201952,1.09894556645823,-0.8959902,3,16,7,3,0,3.0,13,1
fish,9.652773,11.061245,0.4094454,0.6936470556015963,-0.8864894,3,17,7,4,1,2.0,14,0
chicken,8.703944,11.683805,-0.36407304,2.639128755635788,-2.9036329,3,18,8,1,1,0.0,15,0
rabbit,8.530918,14.068098,-0.7450187,1.7919261220073759,-0.86160177,3,19,9,1,1,0.0,16,0
goose,8.162916,13.283049,-0.26029122,2.1973356822749484,-0.7342813,3,20,10,1,1,0.0,17,0
turtle,8.067716,11.633631,0.9358722,1.3865443298750981,-0.9755218,3,21,11,1,1,0.0,18,0
bird,9.1650715,12.285433,0.64898264,0.6936470556015963,-2.1538053,3,22,12,1,1,0.0,19,0
frog,8.163962,12.005563,0.74017715,0.0009995003330834232,-2.0614653,3,23,13,1,1,0.0,20,0
wolf,8.697056,11.131586,-1.0423151,1.9460529959950605,-1.8257884,3,24,14,1,0,0.0,21,0
raccoon,7.2334986,14.010668,-0.14996529,1.09894556645823,-0.5473298,3,25,14,2,1,1.0,22,0
possum,6.9892597,14.933136,0.33384502,0.6936470556015963,-0.74761724,3,26,15,1,1,3.0,22,1
squirrel,7.886292,14.63464,0.20738745,2.3026850879943788,-0.886742,3,27,16,1,0,3.0,22,2
chipmunk,6.6536546,15.877527,1.1690071,1.09894556645823,-0.7847879,3,28,16,2,1,3.0,22,3
ferret,7.2498455,13.275824,-0.36220145,3.0910879068707438,-0.6147258,3,29,17,1,1,3.0,22,4
duck,8.351821,12.944391,-0.6875971,1.3865443298750981,-0.49804354,3,30,18,1,0,3.0,22,5
swan,8.213777,14.255888,-1.6070634,0.6936470556015963,-0.58885753,3,31,18,2,1,3.0,22,6
shark,7.8841987,13.072171,0.611025,1.3865443298750981,-0.8743992,3,32,19,1,0,2.0,23,0
dolphin,7.705347,14.805448,1.1312795,1.09894556645823,-1.6390641,3,33,19,2,0,0.0,24,0
whale,8.224764,15.366442,0.87034935,0.0009995003330834232,-1.5799229,3,34,19,3,1,1.0,25,0
mountain lion,6.5962234,12.113132,-1.2286553,3.6635872868265618,-1.0230794,3,35,20,1,1,2.0,26,0
gerbil,6.3419065,11.195427,1.1986861,3.6635872868265618,-0.49291396,3,36,21,1,1,0.0,27,0
gorilla,7.3137183,10.357781,0.44351846,2.3026850879943788,-0.60975707,3,37,22,1,0,0.0,28,0
chimpanzee,7.246959,15.172663,0.2907952,1.7919261220073759,-0.9008191,3,38,22,2,1,1.0,29,0
snake,8.501285,11.283102,1.0691586,3.367330312150578,-0.6630565,3,39,23,1,0,2.0,30,0
rabbit,8.530918,13.886426,-0.7450187,0.6936470556015963,-4.874038,4,2,1,3,0,,0,0
elk,8.115869,12.365352,-0.5356877,1.09894556645823,-4.0414114,4,3,1,4,0,0.0,1,0
moose,7.8764725,15.417486,0.20265234,0.6936470556015963,-1.7118313,4,4,1,5,0,1.0,2,0
mule deer,6.798853,13.97247,-1.9046175,1.3865443298750981,-1.6590163,4,5,1,6,0,3.0,2,1
white tailed deer,4.787979,15.876591,-1.217671,2.1973356822749484,-1.1920769,4,6,1,7,0,3.0,2,2
black tailed deer,4.099748,15.510374,-0.9544387,1.6096378924367667,-1.1011257,4,7,1,8,1,3.0,2,3
grizzly,7.461551,13.431863,-0.4407581,1.9460529959950605,-0.97072893,4,8,2,1,0,3.0,2,4
black bear,6.9384136,15.829127,-0.74299264,0.6936470556015963,-3.638667,4,9,2,2,0,3.0,2,5
brown bear,6.5432096,15.432022,-0.8051107,1.09894556645823,-2.7855668,4,10,2,3,0,3.0,2,6
kodiak bear,4.918355,15.222635,-1.7439709,1.6096378924367667,-2.745888,4,11,2,4,1,3.0,2,7
mountain goat,6.331257,14.748941,-3.3714998,1.7919261220073759,-2.73944,4,12,3,1,1,3.0,2,8
goat,8.287556,13.687566,-1.4169083,1.09894556645823,-2.676869,4,13,4,1,1,2.0,3,0
wolf,8.697056,12.686332,-1.0423151,1.3865443298750981,-3.3587546,4,14,5,1,0,0.0,4,0
fox,8.901891,15.14817,-1.256597,1.09894556645823,-3.2271574,4,15,5,2,0,1.0,5,0
coyote,7.6454744,15.21207,-1.4244925,1.09894556645823,-2.487437,4,16,5,3,0,3.0,5,1
dog,9.247131,14.597819,1.5745795,1.09894556645823,-1.9863266,4,17,5,4,0,2.0,6,0
