pid,response,RT,response,invalid
12,alsatian,952.0,alsatian,
12,german shepherd,1107.0,german shepherd,
12,yorkshire terrier,7626.0,yorkshire terrier,
12,greyhound,4155.0,greyhound,
12,whippet,2348.0,whippet,
12,ape,10327.0,ape,
12,chimpanzee,1120.0,chimpanzee,
12,gorilla,2075.0,gorilla,
12,kangeroo,7668.0,kangaroo,
12,wombat,1710.0,wombat,
12,emu,898.0,emu,
12,wallaby,5641.0,wallaby,
13,angelfish,49698.0,angelfish,
13,betta fish,270.0,betta fish,
13,gourami,279.0,gourami,
13,siamese fighting fish,1650.0,siamese fighting fish,
13,rainbow fish,2999.0,rainbow fish,
13,clownfish,300.0,clownfish,
13,tetra fish,7843.0,tetra fish,
13,pleco,9250.0,suckermouth catfish,
13,loach,4490.0,loach,
13,koi,1760.0,koi,
13,goldfish,480.0,goldfish,
13,guppy,17010.0,guppy,
14,ELEPHANT,9020.0,elephant,
14,RHINO,1224.0,rhinoceros,
14,GIRAFFE,2722.0,giraffe,
14,LION,1243.0,lion,
14,TIGER,1273.0,tiger,
14,BUFFOLO,2554.0,buffalo,
14,CROCODILE,2665.0,crocodile,
14,ALIGATOR,734.0,alligator,
14,FISH,8368.0,fish,
14,HERON,2265.0,heron,
14,BLUE TIT,1955.0,blue tit,
14,ROBIN,1055.0,robin,
14,SPARROW,831.0,sparrow,
14,BLACKBIRD,3458.0,blackbird,
14,FLY,3005.0,fly,
14,LADYBIRD,3588.0,ladybird,
14,BUTTERFLY,1327.0,butterfly,
14,MOTH,802.0,moth,
14,BAT,13010.0,bat,
14,RA,3712.0,rat,
14,RAT,1069.0,rat,1
14,MOUSE,1152.0,mouse,
14,BEAVER,5193.0,beaver,
14,MOLE3,8293.0,mole,
14,RABBIT,16352.0,rabbit,
14,GIUNIE PIG,1595.0,guinea pig,
14,HAMSTER,3012.0,hamster,
14,GERBIL,2180.0,gerbil,
14,SQUIRREL,12736.0,squirrel,
14,RED SQUIRREL,4833.0,red squirrel,
14,GREY SQUIRREL,1029.0,grey squirrel,
15,cat,11953.0,cat,
15,lion,664.0,lion,
15,tiger,343.0,tiger,
15,leopard,4234.0,leopard,
15,cheetah,312.0,cheetah,
15,cougar,62033.0,cougar,
16,dog,12433.0,dog,
16,cat,25260.0,cat,
16,fox,2893.0,fox,
16,wolf,1344.0,wolf,
16,dingo,2675.0,dingo,
16,coyote,29851.0,coyote,
16,jackal,1569.0,jackal,
16,domestic dog,15902.0,dog,
16,hyena,9761.0,hyena,
16,red wolf,2266.0,red wolf,
16,arctic wolf,4311.0,arctic wolf,
16,grey wolf,21883.0,grey wolf,
16,african wild dog,3956.0,african wild dog,
17,pig,3413.0,pig,
17,guinea pig,816.0,guinea pig,
17,rabbit,719.0,rabbit,
17,hare,1039.0,hare,
17,mole,1683.0,mole,
17,rat,2688.0,rat,
17,mouse,1154.0,mouse,
17,hampter,1720.0,hamster,
17,chinchilla,2569.0,chinchilla,
17,gerbil,16121.000000000000,gerbil,
17,degus,4468.0,degu,
17,cappybura,30762.0,cappybara,
17,beaver,14044.0,beaver,
17,otter,648.0,otter,
17,seal,27359.0,seal,
17,sealion,558.0,sea lion,
17,whale,432.0,whale,
17,dolpin,1034.0,dolphin,
17,turtle,1915.0,turtle,
17,snail,1466.0,snail,
17,slug,671.0,slug,
17,worm,753.0,worm,
17,milapead,4217.0,millipede,
17,centapied,1775.0,centipede,
17,spider,2845.0,spider,
17,tranchula,699.0,tarantula,
17,dragon fly,30925.0,dragon fly,
17,house fly,507.0,house fly,
18,wolf,10572.0,wolf,
18,dog,1108.0,dog,
18,fox,679.0,fox,
18,deer,760.0,deer,
18,tiger,3723.0,tiger,
18,lion,5551.0,lion,
18,hyenna,10667.0,hyena,
18,cat,415.0,cat,
18,lion,9523.0,lion,
18,leopard,7676.0,leopard,
18,cheetah,2264.0,cheetah,
18,Jaguar,5026.0,jaguar,
18,jackal,8317.0,jackal,
18,a wild cat,646.0,wild cat,
18,cougar,3089.0,cougar,
18,coyote,2750.0,coyote,
18,wolf,5519.0,wolf,
18,dog,896.0,dog,
18,coyote,12851.0,coyote,
18,lion,7792.0,lion,
18,coyote,7958.0,coyote,
18,jaquar,2876.0,jaguar,
18,tiger,2070.0,tiger,
18,lion,414.0,lion,
18,panther,6899.0,panther,
18,fox,4211.0,fox,
18,wolf,1837.0,wolf,
18,coyote,7380.0,coyote,
18,leopard,7540.0,leopard,
18,cheetah,2763.0,cheetah,
18,leopard,3527.0,leopard,
18,tiger,2672.0,tiger,
18,wildcat,3984.0,wild cat,
18,fox,1927.0,fox,
18,dog,5240.0,dog,
19,cat,5452.0,cat,
19,tiger,2084.0,tiger,
19,lion,771.0,lion,
19,leopard,643.0,leopard,
19,panther,1368.0,panther,
19,sloth,31255.0,sloth,
19,llama,11815.0,llama,
19,horse,2600.0,horse,
19,cow,3370.0,cow,
19,sheep,3366.0,sheep,
19,lamb,7342.0,lamb,
19,pig,12629.0,pig,
19,goat,33058.0,goat,
20,cat,11803.0,cat,
20,jaguar,9537.0,jaguar,
20,leopard,457.0,leopard,
20,lion,568.0,lion,
20,tiger,591.0,tiger,
20,cheetah,559.0,cheetah,
20,bobcat,6992.0,bobcat,
20,lynx,983.0,lynx,
20,ocelot,1776.0,ocelot,
20,kitten,439.0,kitten,
20,cougar,11827.0,cougar,
21,dog,9560.0,dog,
21,wolf,375.0,wolf,
21,bear,658.0,bear,
21,polar bear,4067.0,polar bear,
21,penguin,418.0,penguin,
21,seal,2390.0,seal,
21,whale,597.0,whale,
21,dolphin,692.0,dolphin,
21,fish,3103.0,fish,
21,stingray,1374.0,stingray,
21,octopus,505.0,octopus,
21,jellyfish,4987.0,jellyfish,
21,seahorse,5105.0,seahorse,
21,horse,559.0,horse,
21,antilope,2418.0,antilope,
21,gazelle,2279.0,gazelle,
21,leopard,6225.0,leopard,
21,lion,437.0,lion,
21,tiger,429.0,tiger,
21,cheetah,3617.0,cheetah,
21,cow,9756.0,cow,
21,bull,2248.0,bull,
21,deer,4665.0,deer,
21,moose,12468.0,moose,
21,elephant,2400.0,elephant,
21,orangutan,21563.0,orangutan,
21,monkey,1026.0,monkey,
22,guinea pig,12646.0,guinea pig,
22,rabbit,2495.0,rabbit,
22,gerbil,1744.0,gerbil,
22,hamster,1056.0,hamster,
22,rat,1055.0,rat,
22,cat,3231.0,cat,
22,dog,4191.0,dog,
22,wolf,542.0,wolf,
22,hyena,815.0,hyena,
22,lion,3247.0,lion,
22,tiger,624.0,tiger,
22,leopard,623.0,leopard,
22,cheetah,399.0,cheetah,
22,giraffe,6853.0,giraffe,
22,gnu,1294.0,gnu,
22,wildebeest,544.0,wildebeest,
22,bison,4979.0,bison,
22,deer,767.0,deer,
22,stag,9173.0,stag,
22,horse,15363.0,horse,
22,pony,789.0,pony,
22,donkey,975.0,donkey,
22,mule,720.0,mule,
22,cow,19205.0,cow,
22,bull,2015.0000000000000,bull,
22,sheep,4351.0,sheep,
22,lamb,387.0,lamb,
22,goat,2111.0,goat,
22,pig,5461.0,pig,
22,boar,3536.0,boar,
22,guinea pig (again),11061.0,guinea pig,
22,mouse,10947.0,mouse,
22,gerboa,3407.0,gerboa,
23,sheep,23445.0,sheep,
23,goat,2379.0,goat,
23,cow,3852.0,cow,
23,horse,1309.0,horse,
23,donkey,3588.0,donkey,
23,pig,5187.0,pig,
23,dog,2184.0,dog,
23,cat,1908.0,cat,
23,rabbit,758.0,rabbit,
23,chicken,11350.0,chicken,
23,duck,909.0,duck,
23,goose,718.0,goose,
23,turkey,897.0,turkey,
23,owl,7029.0,owl,
23,eagle,1946.0,eagle,
23,penguin,1907.0,penguin,
23,flamingo,14901.0,flamingo,
23,parrot,27185.0,parrot,
24,monkey,7484.0,monkey,
24,chimpanzee,832.0,chimpanzee,
24,orangutan,646.0,orangutan,
24,gorilla,15554.0,gorilla,
24,bear,12689.0,bear,
24,polar bear,990.0,polar bear,
24,brown bear,2120.0,brown bear,
24,lion,39710.0,lion,
24,tiger,959.0,tiger,
24,puma,828.0,puma,
24,jaguar,754.0,jaguar,
24,cheetah,18872.0,cheetah,
24,lynx,646.0,lynx,
24,wolf,4149.0,wolf,
24,dog,3338.0,dog,
24,sheep,12538.0,sheep,
24,goat,483.0,goat,
24,cow,3647.0,cow,
24,horse,7167.0,horse,
24,zebra,1834.0,zebra,
24,giraffe,975.0,giraffe,
24,elephant,586.0,elephant,
24,llama,13795.0,llama,
24,camel,9785.0,camel,
24,rhino,3063.0,rhinoceros,
24,hippo,5923.0,hippopotamus,
25,lion,7337.0,lion,
25,leopard,1500.0,leopard,
25,tiger,332.0,tiger,
25,panther,2080.0,panther,
25,hyena,4607.0,hyena,
25,dog,671.0,dog,
25,wild dog,2302.0,wild dog,
25,dingo,2879.0,dingo,
25,labrador,11690.0,labrador,
25,ocelot,31297.0,ocelot,
25,cat,9718.0,cat,
25,capybara,12809.0,capybara,
25,rat,46803.0,rat,
26,Ape,10681.0,ape,
26,Monkey,2346.0,monkey,
26,Human,2561.0,human,
26,Dog (man's best friend),5356.0,dog,
26,cat,754.0,cat,
26,Tiger,1528.0,tiger,
26,Lion,788.0,lion,
26,Cheetah,1134.0,cheetah,
26,Antelope,3549.0,antelope,
26,Kangaroo,1126.0,kangaroo,
26,Koala,1953.0,koala,
26,Sloth,1925.0,sloth,
26,Bear,15595.0,bear,
26,Grizzly Bear,1248.0,grizzly bear,
26,Black bear,1586.0,black bear,
26,Polar Bear,5106.0,polar bear,
26,Arctic Fox,1716.0,arctic fox,
26,Arctic Hare,902.0,arctic hare,
26,Penguin,950.0,penguin,
26,Puffin,1401.0,puffin,
26,Bird,17191.0,bird,
26,Eagle,6283.0,eagle,
26,Chicken,4780.0,chicken,
26,Pig,2136.0,pig,
26,Cow,1813.0,cow,
26,Horse,1130.0,horse,
27,cat,11290.0,cat,
27,tiger,785.0,tiger,
27,lion,601.0,lion,
27,cheetah,609.0,cheetah,
27,cougar,1441.0,cougar,
27,mountain lion,1202.0,mountain lion,
27,brown bear,3569.0,brown bear,
27,polar bear,688.0,polar bear,
27,grizzly bear,1499.0,grizzly bear,
27,koala bear,3553.0,koala bear,
27,panda,4976.0,panda,
27,red panda,3679.0,red panda,
27,dog,5265.0,dog,
27,wolf,832.0,wolf,
27,hyena,882.0,hyena,
27,prairie dog,3017.0,prairie dog,
27,reindeer,14995.0,reindeer,
27,monkjack deer,1019.0000000000000,muntjac,
27,ibis,3803.0,ibis,
27,springbok,602.0,springbok,
27,fallow deer,1011.0000000000000,fallow deer,
27,dic dic,16275.000000000000,antelope,
27,zebra horse donkey pony giraffe,2519.0,zebra horse donkey pony giraffe,1
27,rhino hippo,2299.0,rhino hippo,1
27,warthog,1449.0,warthog,
27,pig,896.0,pig,
27,rabbit,13139.0,rabbit,
27,hare,793.0,hare,
