pid,response,RT
295,cat,3
295,dog,2
295,chinchilla,4
295,guineapig,2
295,rabbit,2
295,squirrel,6
295,mouse,2
295,rat,1
295,hamster,7
295,hyena,6
295,deer,7
295,bat,4
295,eagle,5
295,elephant,12
295,camel,2
295,emu,2
295,sloth,3
295,rhinoceros,7
295,monkey,9
295,gorilla,3
295,chimpanzee,5
295,baboon,3
295,cheetah,6
295,zebra,2
295,gazelle,4
295,crocodile,5
295,gecko,10
295,wildebeest,13
295,bison,3
295,antelope,7
295,polarbear,7
296,tiger,2
296,dog,2
296,cat,2
296,kitten,1
296,puppy,2
296,jaguar,3
296,mountainlion,5
296,cheetah,3
296,lion,3
296,cub,2
296,zebra,4
296,alligator,4
296,crocodile,4
296,octopus,2
296,muskrat,13
296,ferret,5
296,monkey,7
296,gorilla,2
296,squirrel,9
296,chipmunk,5
296,mouse,3
296,rat,1
296,guineapig,5
296,pig,3
296,horse,1
296,donkey,4
296,hippopotamus,6
296,coyote,16
296,deer,3
296,giraffe,25
296,mammal,40
297,dog,1
297,cat,2
297,fish,1
297,monkey,3
297,cow,1
297,hippopotamus,2
297,pig,2
297,hog,2
297,squirrel,7
297,dolphin,8
297,sanddollar,1
297,snake,3
297,snail,1
297,slug,1
297,raccoon,3
297,chipmunk,2
297,skunk,2
297,kangaroo,3
297,koala,7
297,ferret,8
297,tiger,8
297,lion,2
297,bear,2
297,cheetah,4
297,polarbear,4
297,brownbear,4
297,jackrabbit,26
297,rabbit,2
297,bunny,1
297,penguin,4
297,iguana,4
297,lizard,1
297,mosquito,2
297,bee,2
297,wasp,4
297,ant,3
297,rattlesnake,7
297,ostrich,2
297,lemur,6
297,emu,6
297,shark,3
297,clownfish,2
297,catfish,3
297,tarantula,4
297,spider,2
297,turtle,6
297,parakeet,2
298,dog,4
298,turtle,5
298,lizard,2
298,fish,3
298,lion,3
298,giraffe,5
298,zebra,3
298,elephant,3
298,whale,4
298,fly,3
298,bee,3
298,worm,4
298,snake,4
298,kangaroo,6
298,bear,2
298,tiger,2
298,leopard,3
298,hawk,9
298,bluejay,2
298,robin,4
298,crocodile,16
298,monkey,9
298,gorilla,3
298,koala,19
298,panther,9
298,cougar,6
298,dolphin,10
298,horse,10
298,donkey,1
298,pig,4
298,sheep,4
298,chicken,5
298,frog,17
379,dog,3
379,cat,2
379,tiger,1
379,lion,2
